"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 27 12:07:09 UTC 2026","Thu Aug 27 12:07:12 UTC 2026","3365","UI_TESTS","test_Register_User","","","","test_Register_User[chromium]",""
"passed","Thu Aug 27 12:07:19 UTC 2026","Thu Aug 27 12:07:21 UTC 2026","1807","UI_TESTS","test_Search_Product","","","","test_search_product[chromium]",""
"passed","Thu Aug 27 12:07:36 UTC 2026","Thu Aug 27 12:07:37 UTC 2026","1408","UI_TESTS","test_Subscription_Cart","","","","test_verify_subscription_in_cart[chromium]",""
"passed","Thu Aug 27 12:07:12 UTC 2026","Thu Aug 27 12:07:19 UTC 2026","6423","UI_TESTS","test_Remove_Products","","","","test_Remove_Products_From_Cart[chromium]",""
"passed","Thu Aug 27 12:06:34 UTC 2026","Thu Aug 27 12:06:50 UTC 2026","15975","UI_TESTS","test_Place_Order_Login_Before","","","","test_place_order_login_before_checkout[chromium]",""
"passed","Thu Aug 27 12:07:37 UTC 2026","Thu Aug 27 12:07:40 UTC 2026","2844","UI_TESTS","test_Test_Cases","","","","test_verify_test_cases_page[chromium]",""
"passed","Thu Aug 27 12:05:37 UTC 2026","Thu Aug 27 12:05:42 UTC 2026","5218","UI_TESTS","test_Add_Review","","","","test_add_review_on_product[chromium]",""
"passed","Thu Aug 27 12:06:13 UTC 2026","Thu Aug 27 12:06:20 UTC 2026","6996","UI_TESTS","test_Logout_User","","","","test_Login_User_Correct[chromium]",""
"passed","Thu Aug 27 12:06:20 UTC 2026","Thu Aug 27 12:06:34 UTC 2026","14121","UI_TESTS","test_Place_Order_Before","","","","test_place_order_register_before_checkout[chromium]",""
"passed","Thu Aug 27 12:07:48 UTC 2026","Thu Aug 27 12:07:51 UTC 2026","3381","UI_TESTS","test_Verify_Quantity","","","","test_verify_product_quantity_in_cart[chromium]",""
"passed","Thu Aug 27 12:05:45 UTC 2026","Thu Aug 27 12:05:50 UTC 2026","5801","UI_TESTS","test_Contact_Us","","","","test_contact_us_form[chromium]",""
"passed","Thu Aug 27 12:07:51 UTC 2026","Thu Aug 27 12:07:54 UTC 2026","2444","UI_TESTS","test_View_Brand_Products","","","","test_view_brand_products[chromium]",""
"passed","Thu Aug 27 12:05:26 UTC 2026","Thu Aug 27 12:05:37 UTC 2026","10932","UI_TESTS","test_Add_From_Recommended","","","","test_add_to_cart_from_recommended[chromium]",""
"passed","Thu Aug 27 12:07:21 UTC 2026","Thu Aug 27 12:07:34 UTC 2026","13635","UI_TESTS","test_Search_Products_Cart_After_Login","","","","test_Search_Products_Cart_After_Login[chromium]",""
"passed","Thu Aug 27 12:05:42 UTC 2026","Thu Aug 27 12:05:45 UTC 2026","2446","UI_TESTS","test_Add_To_Cart","","","","test_add_products_to_cart[chromium]",""
"passed","Thu Aug 27 12:06:11 UTC 2026","Thu Aug 27 12:06:13 UTC 2026","1731","UI_TESTS","test_Login_User_incorrect","","","","test_login_user_with_incorrect_credentials[chromium]",""
"passed","Thu Aug 27 12:07:05 UTC 2026","Thu Aug 27 12:07:07 UTC 2026","2171","UI_TESTS","test_Products","","","","test_verify_all_products_and_detail[chromium]",""
"passed","Thu Aug 27 12:07:07 UTC 2026","Thu Aug 27 12:07:09 UTC 2026","1382","UI_TESTS","test_Register_Existing_Email","","","","test_register_user_with_existing_email[chromium]",""
"passed","Thu Aug 27 12:07:34 UTC 2026","Thu Aug 27 12:07:36 UTC 2026","1390","UI_TESTS","test_Subscription","","","","test_verify_subscription[chromium]",""
"passed","Thu Aug 27 12:05:51 UTC 2026","Thu Aug 27 12:06:06 UTC 2026","15233","UI_TESTS","test_Download_Invoice_After_Purchase","","","","test_verify_address_in_checkout[chromium]",""
"passed","Thu Aug 27 12:07:54 UTC 2026","Thu Aug 27 12:08:02 UTC 2026","7659","UI_TESTS","test_View_Category","","","","test_view_category_products[chromium]",""
"passed","Thu Aug 27 12:06:50 UTC 2026","Thu Aug 27 12:07:05 UTC 2026","14668","UI_TESTS","test_Place_Order_While","","","","test_place_order_register_while_checkout[chromium]",""
"passed","Thu Aug 27 12:06:06 UTC 2026","Thu Aug 27 12:06:11 UTC 2026","5061","UI_TESTS","test_Login_User_correct","","","","test_Login_User_Correct[chromium]",""
"passed","Thu Aug 27 12:07:40 UTC 2026","Thu Aug 27 12:07:48 UTC 2026","7695","UI_TESTS","test_Verify_Address_In_Checkout","","","","test_verify_address_in_checkout[chromium]",""
